"basename","seed","threshold","pep_pass","pep_total","q_pass","q_total"
"tcell0pt3p_scored_target",58,0.01,0,132,0,132
"tcell10p_scored_target",58,0.01,66,132,76,132
"tcell1p_scored_target",58,0.01,0,132,0,132
"tcell30p_scored_target",58,0.01,94,132,104,132
"tcell3p_scored_target",58,0.01,51,132,57,132
"drep_tcell100p_scored_target",59,0.01,109,132,126,132
"tcell0pt3p_scored_target",59,0.01,0,132,0,132
"tcell10p_scored_target",59,0.01,66,132,73,132
"tcell1p_scored_target",59,0.01,0,132,0,132
"tcell30p_scored_target",59,0.01,94,132,102,132
"tcell3p_scored_target",59,0.01,39,132,52,132
"drep_tcell100p_scored_target",60,0.01,109,132,126,132
"tcell0pt3p_scored_target",60,0.01,0,132,0,132
"tcell10p_scored_target",60,0.01,66,132,76,132
"tcell1p_scored_target",60,0.01,0,132,0,132
"tcell30p_scored_target",60,0.01,94,132,105,132
"tcell3p_scored_target",60,0.01,0,132,56,132
"drep_tcell100p_scored_target",61,0.01,109,132,126,132
"tcell0pt3p_scored_target",61,0.01,0,132,0,132
"tcell10p_scored_target",61,0.01,66,132,77,132
"tcell1p_scored_target",61,0.01,0,132,0,132
"tcell30p_scored_target",61,0.01,94,132,106,132
"tcell3p_scored_target",61,0.01,51,132,55,132
"drep_tcell100p_scored_target",62,0.01,109,132,125,132
"tcell0pt3p_scored_target",62,0.01,26,132,0,132
"tcell10p_scored_target",62,0.01,66,132,75,132
"tcell1p_scored_target",62,0.01,0,132,0,132
"tcell30p_scored_target",62,0.01,94,132,104,132
"tcell3p_scored_target",62,0.01,0,132,55,132
"drep_tcell100p_scored_target",63,0.01,109,132,125,132
"tcell0pt3p_scored_target",63,0.01,0,132,0,132
"tcell10p_scored_target",63,0.01,66,132,78,132
"tcell1p_scored_target",63,0.01,0,132,0,132
"tcell30p_scored_target",63,0.01,94,132,104,132
"tcell3p_scored_target",63,0.01,39,132,55,132
"drep_tcell100p_scored_target",64,0.01,109,132,125,132
"tcell0pt3p_scored_target",64,0.01,0,132,0,132
"tcell10p_scored_target",64,0.01,66,132,76,132
"tcell1p_scored_target",64,0.01,0,132,0,132
"tcell30p_scored_target",64,0.01,94,132,102,132
"tcell3p_scored_target",64,0.01,0,132,57,132
"drep_tcell100p_scored_target",65,0.01,109,132,126,132
"tcell0pt3p_scored_target",65,0.01,0,132,0,132
"tcell10p_scored_target",65,0.01,66,132,75,132
"tcell1p_scored_target",65,0.01,0,132,0,132
