"seed","basename","file","threshold","pep_total","pep_pass","q_total","q_pass"
66,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed66_label0_pep_ipspline.txt",0.01,132,109,132,125
66,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed66_label0_pep_ipspline.txt",0.05,132,113,132,127
67,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed67_label0_pep_ipspline.txt",0.01,132,109,132,125
67,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed67_label0_pep_ipspline.txt",0.05,132,112,132,126
68,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed68_label0_pep_ipspline.txt",0.01,132,109,132,125
68,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed68_label0_pep_ipspline.txt",0.05,132,113,132,127
69,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed69_label0_pep_ipspline.txt",0.01,132,109,132,125
69,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed69_label0_pep_ipspline.txt",0.05,132,112,132,127
70,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed70_label0_pep_ipspline.txt",0.01,132,109,132,126
70,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed70_label0_pep_ipspline.txt",0.05,132,113,132,126
71,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed71_label0_pep_ipspline.txt",0.01,132,109,132,125
71,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed71_label0_pep_ipspline.txt",0.05,132,113,132,126
72,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed72_label0_pep_ipspline.txt",0.01,132,109,132,125
72,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed72_label0_pep_ipspline.txt",0.05,132,113,132,127
73,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed73_label0_pep_ipspline.txt",0.01,132,109,132,125
73,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed73_label0_pep_ipspline.txt",0.05,132,112,132,126
74,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed74_label0_pep_ipspline.txt",0.01,132,109,132,125
74,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed74_label0_pep_ipspline.txt",0.05,132,113,132,127
75,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed75_label0_pep_ipspline.txt",0.01,132,109,132,125
75,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed75_label0_pep_ipspline.txt",0.05,132,113,132,127
76,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed76_label0_pep_ipspline.txt",0.01,132,109,132,125
