"seed","file","fdr_col","threshold","target_pass","target_total","decoy_pass","decoy_total"
83,"drep_tcell100p_scored_target_seed83_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
84,"drep_tcell100p_scored_target_seed84_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
84,"drep_tcell100p_scored_target_seed84_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
85,"drep_tcell100p_scored_target_seed85_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,77,132,0,0
85,"drep_tcell100p_scored_target_seed85_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
86,"drep_tcell100p_scored_target_seed86_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
86,"drep_tcell100p_scored_target_seed86_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
87,"drep_tcell100p_scored_target_seed87_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
87,"drep_tcell100p_scored_target_seed87_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
88,"drep_tcell100p_scored_target_seed88_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
88,"drep_tcell100p_scored_target_seed88_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
89,"drep_tcell100p_scored_target_seed89_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,77,132,0,0
89,"drep_tcell100p_scored_target_seed89_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
90,"drep_tcell100p_scored_target_seed90_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,77,132,0,0
90,"drep_tcell100p_scored_target_seed90_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
91,"drep_tcell100p_scored_target_seed91_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
91,"drep_tcell100p_scored_target_seed91_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
92,"drep_tcell100p_scored_target_seed92_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
92,"drep_tcell100p_scored_target_seed92_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
93,"drep_tcell100p_scored_target_seed93_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,77,132,0,0
93,"drep_tcell100p_scored_target_seed93_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
94,"drep_tcell100p_scored_target_seed94_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
94,"drep_tcell100p_scored_target_seed94_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
95,"drep_tcell100p_scored_target_seed95_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
95,"drep_tcell100p_scored_target_seed95_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
96,"drep_tcell100p_scored_target_seed96_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,77,132,0,0
96,"drep_tcell100p_scored_target_seed96_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
97,"drep_tcell100p_scored_target_seed97_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,77,132,0,0
97,"drep_tcell100p_scored_target_seed97_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
98,"drep_tcell100p_scored_target_seed98_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,77,132,0,0
98,"drep_tcell100p_scored_target_seed98_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
99,"drep_tcell100p_scored_target_seed99_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
99,"drep_tcell100p_scored_target_seed99_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
100,"drep_tcell100p_scored_target_seed100_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,77,132,0,0
100,"drep_tcell100p_scored_target_seed100_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
